node_1,node_2,topic_name,edge,count
Reinforcement learning algorithms,TD(lambda),"Pac-Learning Recursive Logic Programs: Efficient Algorithms,Pac-Learning Recursive Logic Programs: Efficient Algorithms",contextual proximity,2
Reinforcement learning algorithms,TTD,"Pac-Learning Recursive Logic Programs: Efficient Algorithms,Pac-Learning Recursive Logic Programs: Efficient Algorithms,Pac-Learning Recursive Logic Programs: Efficient Algorithms,Pac-Learning Recursive Logic Programs: Efficient Algorithms",contextual proximity,4
Reinforcement learning algorithms,Temporal difference methods,"Pac-Learning Recursive Logic Programs: Efficient Algorithms,Pac-Learning Recursive Logic Programs: Efficient Algorithms",contextual proximity,2
Reinforcement learning algorithms,Truncated Temporal Differences (TTD),"Pac-Learning Recursive Logic Programs: Efficient Algorithms,Pac-Learning Recursive Logic Programs: Efficient Algorithms",contextual proximity,2
Replay framework,CBP,"Cached Sufficient Statistics for Efficient Machine Learning with Large   Datasets,Cached Sufficient Statistics for Efficient Machine Learning with Large   Datasets",contextual proximity,2
Replay framework,DERSNLP+EBL,"Cached Sufficient Statistics for Efficient Machine Learning with Large   Datasets,Cached Sufficient Statistics for Efficient Machine Learning with Large   Datasets,Cached Sufficient Statistics for Efficient Machine Learning with Large   Datasets,Cached Sufficient Statistics for Efficient Machine Learning with Large   Datasets",contextual proximity,4
Resampling-based pruning strategies,Simplifying hierarchical clusterings,2Planning for Contingencies: A Decision-based Approach,"Given this performance task, we adapt resampling-based pruning strategies used by supervised learning systems to the task of simplifying hierarchical clusterings, thus promising to ease post-clustering analysis.",4
Role,Plan-design process,"Truncating Temporal Differences: On the Efficient Implementation of   TD(lambda) for Reinforcement Learning,Truncating Temporal Differences: On the Efficient Implementation of   TD(lambda) for Reinforcement Learning",contextual proximity,2
SEQUITUR,structure,"Synthesizing Customized Planners from Specifications,Synthesizing Customized Planners from Specifications",contextual proximity,2
STEAM,STEAM's central hypothesis,"Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics",contextual proximity,8
STEAM,communication,"Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics",contextual proximity,4
STEAM,"complex, dynamic multi-agent domains","Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics","Many AI researchers are today striving to build agent teams for complex, dynamic multi-agent domains with intended applications in arenas such as education, training, entertainment, information integration, and collective robotics.,contextual proximity",8
STEAM,"differing, incomplete, and possibly inconsistent views of their environment","Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics",contextual proximity,4
STEAM,failed to fulfill responsibilities or discovered unexpected opportunities,"Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics",contextual proximity,4
STEAM,flexibility,"Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics",contextual proximity,4
STEAM,individual members',"Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics",contextual proximity,4
STEAM,"intended applications in arenas such as education, training, entertainment, information integration, and collective robotics.","Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics","Many AI researchers are today striving to build agent teams for complex, dynamic multi-agent domains with intended applications in arenas such as education, training, entertainment, information integration, and collective robotics.,contextual proximity",8
STEAM,joint intentions,"Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics",contextual proximity,12
STEAM,partial SharedPlans,"Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics","STEAM's basic building block of teamwork is joint intentions (Cohen & Levesque, 1991b); teamwork in STEAM is based on agents' building up a (partial) hierarchy of joint intentions, which parallels Grosz & Kraus's partial SharedPlans.,contextual proximity",8
STEAM,reorganizing the team,"Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics",contextual proximity,4
STEAM,reusability,"Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics",contextual proximity,4
STEAM,team members,"Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics",contextual proximity,12
STEAM,team members',"Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics",contextual proximity,4
STEAM,teamwork,"Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics",contextual proximity,4
STEAM's central hypothesis,STEAM,"Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics",contextual proximity,8
STEAM's central hypothesis,communication,"Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics",contextual proximity,2
STEAM's central hypothesis,"complex, dynamic multi-agent domains","Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics",contextual proximity,2
STEAM's central hypothesis,"differing, incomplete, and possibly inconsistent views of their environment","Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics",contextual proximity,2
STEAM's central hypothesis,failed to fulfill responsibilities or discovered unexpected opportunities,"Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics",contextual proximity,2
STEAM's central hypothesis,flexibility,"Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics",contextual proximity,2
STEAM's central hypothesis,individual members',"Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics",contextual proximity,2
STEAM's central hypothesis,"intended applications in arenas such as education, training, entertainment, information integration, and collective robotics.","Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics",contextual proximity,2
STEAM's central hypothesis,joint intentions,"Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics",contextual proximity,6
STEAM's central hypothesis,partial SharedPlans,"Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics",contextual proximity,2
STEAM's central hypothesis,reorganizing the team,"Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics",contextual proximity,2
STEAM's central hypothesis,reusability,"Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics",contextual proximity,2
STEAM's central hypothesis,team members,"Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics",contextual proximity,6
STEAM's central hypothesis,team members',"Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics",contextual proximity,2
STEAM's central hypothesis,teamwork,"Monotonicity and Persistence in Preferential Logics,Monotonicity and Persistence in Preferential Logics",contextual proximity,2
Same class,Occam's razor,"A Principled Approach Towards Symbolic Geometric Constraint Satisfaction,A Principled Approach Towards Symbolic Geometric Constraint Satisfaction",contextual proximity,2
Same class,Utility of Occam's razor,"A Principled Approach Towards Symbolic Geometric Constraint Satisfaction,A Principled Approach Towards Symbolic Geometric Constraint Satisfaction",contextual proximity,2
Scientific reasoning,Imagistic reasoning,"MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem",contextual proximity,2
Scientific reasoning,Implemented problem solver,"MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem",contextual proximity,3
Scientific reasoning,Spatial aggregation,"MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem",contextual proximity,8
Set of CSPs,MUSE CSP,"Lifeworld Analysis,Lifeworld Analysis,Lifeworld Analysis,Lifeworld Analysis,Lifeworld Analysis,Lifeworld Analysis,Lifeworld Analysis,Lifeworld Analysis,Lifeworld Analysis","Discussed how to create a MUSE CSP from a set of CSPs labeled to indicate when the same variable is shared by more than a single CSP.,contextual proximity",12
Set of formulas represented by Horn approximation,Horn approximation,"The Computational Complexity of Probabilistic Planning,The Computational Complexity of Probabilistic Planning",contextual proximity,2
Set of formulas represented by Horn approximation,Minimum-change update,"The Computational Complexity of Probabilistic Planning,The Computational Complexity of Probabilistic Planning",contextual proximity,2
"Signal processing applications including computer vision, speech processing, and handwriting recognition",MUSE CSP,"Lifeworld Analysis,Lifeworld Analysis,Lifeworld Analysis,Lifeworld Analysis,Lifeworld Analysis,Lifeworld Analysis,Lifeworld Analysis,Lifeworld Analysis",contextual proximity,8
Similar objects,Occam's razor,"A Principled Approach Towards Symbolic Geometric Constraint Satisfaction,A Principled Approach Towards Symbolic Geometric Constraint Satisfaction",contextual proximity,2
Similar objects,Same class,A Principled Approach Towards Symbolic Geometric Constraint Satisfaction,This procedure was derived by rejecting Occam's razor and instead attending to the assumption that similar objects are likely to belong to the same class.,4
Similar objects,Utility of Occam's razor,"A Principled Approach Towards Symbolic Geometric Constraint Satisfaction,A Principled Approach Towards Symbolic Geometric Constraint Satisfaction",contextual proximity,2
Similarity judgements,CBP,"Cached Sufficient Statistics for Efficient Machine Learning with Large   Datasets,Cached Sufficient Statistics for Efficient Machine Learning with Large   Datasets",contextual proximity,2
Similarity judgements,DERSNLP+EBL,"Cached Sufficient Statistics for Efficient Machine Learning with Large   Datasets,Cached Sufficient Statistics for Efficient Machine Learning with Large   Datasets,Cached Sufficient Statistics for Efficient Machine Learning with Large   Datasets,Cached Sufficient Statistics for Efficient Machine Learning with Large   Datasets",contextual proximity,4
Singly connected Bayesian networks,Dynamic data structure,Practical Methods for Proving Termination of General Logic Programs,We propose a dynamic data structure that supports efficient algorithms for updating and querying singly connected Bayesian networks.,4
Singly connected Bayesian networks,Queries,"Practical Methods for Proving Termination of General Logic Programs,Practical Methods for Proving Termination of General Logic Programs",contextual proximity,2
Situated explanation-based learning,Instructo-Soar,"Statistical Feature Combination for the Evaluation of Game Positions,Statistical Feature Combination for the Evaluation of Game Positions,Statistical Feature Combination for the Evaluation of Game Positions",contextual proximity,3
Situated explanation-based learning,form of explanation-based learning,Statistical Feature Combination for the Evaluation of Game Positions,that is situated for each instruction,4
Situated explanation-based learning,situated explanation,"Statistical Feature Combination for the Evaluation of Game Positions,Statistical Feature Combination for the Evaluation of Game Positions",contextual proximity,2
Small size,Local minima,"Model-Based Diagnosis using Structured System Descriptions,Model-Based Diagnosis using Structured System Descriptions",contextual proximity,2
Small size,Local search algorithms,"Model-Based Diagnosis using Structured System Descriptions,Model-Based Diagnosis using Structured System Descriptions",contextual proximity,2
Small size,Plateaus with exits (benches),"Model-Based Diagnosis using Structured System Descriptions,Model-Based Diagnosis using Structured System Descriptions",contextual proximity,2
Smaller decision trees,Empirical trials show that the modifications lead to smaller decision trees,Least Generalizations and Greatest Specializations of Sets of Clauses,,4
Spatial aggregation,Continuous field,"MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem","A program written in this paradigm takes a continuous field as input.,contextual proximity",12
Spatial aggregation,Equivalence classes and adjacency relations,"MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem","A program written in this paradigm forms equivalence classes and adjacency relations to compute spatial aggregates.,contextual proximity",12
Spatial aggregation,Expert level performance,"MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem",contextual proximity,8
Spatial aggregation,Generic operators,"MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem","A program written in this paradigm employs a small set of generic operators such as aggregation, classification, and localization to perform bidirectional mapping between the information-rich field and successively more abstract spatial aggregates.,contextual proximity",12
Spatial aggregation,HIPAIR,"MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem",contextual proximity,8
Spatial aggregation,"High-level descriptions of structure, behavior, or control actions","MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem","A program written in this paradigm produces high-level descriptions of structure, behavior, or control actions.,contextual proximity",12
Spatial aggregation,Image-like analogue representations,"MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem",contextual proximity,8
Spatial aggregation,Imagistic reasoning,"MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem",contextual proximity,16
Spatial aggregation,Implemented problem solver,"MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem",contextual proximity,24
Spatial aggregation,Intermediate representations,"MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem","A program written in this paradigm computes a multi-layer of intermediate representations called spatial aggregates.,contextual proximity",12
Spatial aggregation,KAM,"MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem",contextual proximity,8
Spatial aggregation,MAPS,"MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem",contextual proximity,8
Spatial aggregation,Neighborhood graph,"MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem","A program written in this paradigm uses a data structure called the neighborhood graph as a common interface to modularize computations.,contextual proximity",12
Spatial aggregation,Optional objective functions,"MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem","A program written in this paradigm may take optional objective functions as input.,contextual proximity",12
Spatial aggregation,Scientific reasoning,"MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem",contextual proximity,8
Spatial aggregation,Unified description of imagistic problem solvers,"MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem","A program written in the spatial aggregation paradigm unifies the description of a class of imagistic problem solvers.,contextual proximity",12
Spatial aggregation,Visual thinking,"MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem,MUSE CSP: An Extension to the Constraint Satisfaction Problem",contextual proximity,8
Speedup learning,Eight Puzzle,"Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning",contextual proximity,2
Speedup learning,Empirical learning of control rules,"Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning",contextual proximity,2
Speedup learning,Explanation-Based Learning (EBL),"Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning",contextual proximity,2
Speedup learning,Macro-operator learning,"Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning",contextual proximity,2
Speedup learning,Problem solving with experience,"Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning","Seeks to improve computational efficiency,contextual proximity",6
Speedup learning,Random problems and their solutions,"Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning","Applies to two different representations of learned knowledge: control rules and macro-operators, and proves theorems that identify sufficient conditions for learning in each representation,contextual proximity",6
Speedup learning,Speedup learning framework,"Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning",contextual proximity,10
Speedup learning,Symbolic integration,"Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning",contextual proximity,2
Speedup learning framework,Eight Puzzle,"Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning",contextual proximity,5
Speedup learning framework,Empirical learning of control rules,"Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning,Accelerating Partial-Order Planners: Some Techniques for Effective   Search Control and Pruning",contextual proximity,5
