node_1,node_2,topic_name,count,edge
ALCNR,inclusion statements,"Decidable Reasoning in Terminological Knowledge Representation Systems,Decidable Reasoning in Terminological Knowledge Representation Systems",2,contextual proximity
ALCNR-knowledge bases,inclusion statements,"Decidable Reasoning in Terminological Knowledge Representation Systems,Decidable Reasoning in Terminological Knowledge Representation Systems",2,contextual proximity
Abundant computing power,An algorithm that learns from a set of examples,"Identifying Hierarchical Structure in Sequences: A linear-time algorithm,Identifying Hierarchical Structure in Sequences: A linear-time algorithm",2,contextual proximity
Abundant computing power,REGENT algorithm,"Identifying Hierarchical Structure in Sequences: A linear-time algorithm,Identifying Hierarchical Structure in Sequences: A linear-time algorithm,Identifying Hierarchical Structure in Sequences: A linear-time algorithm",3,contextual proximity
Activate,Uniform algorithm,"Decision-Theoretic Foundations for Causal Reasoning,Decision-Theoretic Foundations for Causal Reasoning,Decision-Theoretic Foundations for Causal Reasoning",3,contextual proximity
Activate only one unit at a time,Uniform algorithm,"Decision-Theoretic Foundations for Causal Reasoning,Decision-Theoretic Foundations for Causal Reasoning,Decision-Theoretic Foundations for Causal Reasoning",3,contextual proximity
Activities and resource allocations,Artificial economy,"A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems",2,contextual proximity
Activities and resource allocations,Competitive equilibrium,"A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems",2,contextual proximity
Activities and resource allocations,Market price systems,"A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems",9,contextual proximity
Algorithmic,Plan-design process,"Truncating Temporal Differences: On the Efficient Implementation of   TD(lambda) for Reinforcement Learning,Truncating Temporal Differences: On the Efficient Implementation of   TD(lambda) for Reinforcement Learning",2,contextual proximity
Allen's interval algebra,Horn DLRs,"Bidirectional Heuristic Search Reconsidered,Bidirectional Heuristic Search Reconsidered,Bidirectional Heuristic Search Reconsidered",3,contextual proximity
Allen's interval algebra,eight new maximal tractable subclasses of Allen's interval algebra,"Bidirectional Heuristic Search Reconsidered,Bidirectional Heuristic Search Reconsidered,Bidirectional Heuristic Search Reconsidered",3,contextual proximity
Allen's interval algebra,maximal tractable subclasses of Allen's interval algebra,"Bidirectional Heuristic Search Reconsidered,Bidirectional Heuristic Search Reconsidered,Bidirectional Heuristic Search Reconsidered",3,contextual proximity
Allen's interval algebra,sequentiality between intervals,"Bidirectional Heuristic Search Reconsidered,Bidirectional Heuristic Search Reconsidered,Bidirectional Heuristic Search Reconsidered",3,contextual proximity
Allen's interval algebra,two algebras,"Bidirectional Heuristic Search Reconsidered,Bidirectional Heuristic Search Reconsidered,Bidirectional Heuristic Search Reconsidered",3,contextual proximity
Allen's interval-based framework for representing temporal information,algorithms for determining whether the temporal information is consistent,"Active Learning with Statistical Models,Active Learning with Statistical Models",2,contextual proximity
Allen's interval-based framework for representing temporal information,backtracking algorithm,"Active Learning with Statistical Models,Active Learning with Statistical Models",2,contextual proximity
Allen's interval-based framework for representing temporal information,path consistency algorithm,"Active Learning with Statistical Models,Active Learning with Statistical Models",2,contextual proximity
Allen's interval-based framework for representing temporal information,temporal reasoning component,"Active Learning with Statistical Models,Active Learning with Statistical Models",2,contextual proximity
An algorithm that learns from a set of examples,Abundant computing power,"Identifying Hierarchical Structure in Sequences: A linear-time algorithm,Identifying Hierarchical Structure in Sequences: A linear-time algorithm",2,contextual proximity
An algorithm that learns from a set of examples,An initial population of knowledge-based neural networks,"Identifying Hierarchical Structure in Sequences: A linear-time algorithm,Identifying Hierarchical Structure in Sequences: A linear-time algorithm",2,contextual proximity
An algorithm that learns from a set of examples,Better network topologies,"Identifying Hierarchical Structure in Sequences: A linear-time algorithm,Identifying Hierarchical Structure in Sequences: A linear-time algorithm",2,contextual proximity
An algorithm that learns from a set of examples,Domain-specific knowledge,"Identifying Hierarchical Structure in Sequences: A linear-time algorithm,Identifying Hierarchical Structure in Sequences: A linear-time algorithm",2,contextual proximity
An algorithm that learns from a set of examples,Genetic operators of crossover and mutation (specifically designed for knowledge-based networks),"Identifying Hierarchical Structure in Sequences: A linear-time algorithm,Identifying Hierarchical Structure in Sequences: A linear-time algorithm",2,contextual proximity
An algorithm that learns from a set of examples,REGENT algorithm,"Identifying Hierarchical Structure in Sequences: A linear-time algorithm,Identifying Hierarchical Structure in Sequences: A linear-time algorithm,Identifying Hierarchical Structure in Sequences: A linear-time algorithm,Identifying Hierarchical Structure in Sequences: A linear-time algorithm,Identifying Hierarchical Structure in Sequences: A linear-time algorithm,Identifying Hierarchical Structure in Sequences: A linear-time algorithm",6,contextual proximity
An initial population of knowledge-based neural networks,An algorithm that learns from a set of examples,"Identifying Hierarchical Structure in Sequences: A linear-time algorithm,Identifying Hierarchical Structure in Sequences: A linear-time algorithm",2,contextual proximity
An initial population of knowledge-based neural networks,REGENT algorithm,"Identifying Hierarchical Structure in Sequences: A linear-time algorithm,Identifying Hierarchical Structure in Sequences: A linear-time algorithm,Identifying Hierarchical Structure in Sequences: A linear-time algorithm",3,contextual proximity
Arbitrary lambda,Reinforcement learning algorithms,"Pac-Learning Recursive Logic Programs: Efficient Algorithms,Pac-Learning Recursive Logic Programs: Efficient Algorithms",2,contextual proximity
Arbitrary lambda,TD methods,"Pac-Learning Recursive Logic Programs: Efficient Algorithms,Pac-Learning Recursive Logic Programs: Efficient Algorithms",2,contextual proximity
Arbitrary lambda,TTD,"Pac-Learning Recursive Logic Programs: Efficient Algorithms,Pac-Learning Recursive Logic Programs: Efficient Algorithms",2,contextual proximity
Artificial Intelligence,formulae,"SYNERGY: A Linear Planner Based on Genetic Programming,SYNERGY: A Linear Planner Based on Genetic Programming",2,contextual proximity
Artificial Intelligence,nonmonotonicity,"SYNERGY: A Linear Planner Based on Genetic Programming,SYNERGY: A Linear Planner Based on Genetic Programming",2,contextual proximity
Artificial Intelligence,preferential logics,"SYNERGY: A Linear Planner Based on Genetic Programming,SYNERGY: A Linear Planner Based on Genetic Programming",2,contextual proximity
Artificial economy,Activities and resource allocations,"A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems",2,contextual proximity
Artificial economy,Behavior analysis,"A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems",2,contextual proximity
Artificial economy,Competitive equilibrium,"A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems",4,contextual proximity
Artificial economy,Computational agents,"A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems",2,contextual proximity
Artificial economy,Computational market structures,"A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems",2,contextual proximity
Artificial economy,Distributed problem solving,"A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems",2,contextual proximity
Artificial economy,Efficient distributed resource allocation,"A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems",2,contextual proximity
Artificial economy,Market price systems,"A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems",18,contextual proximity
Artificial economy,Mechanisms for decentralized decision making,"A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems",2,contextual proximity
Artificial economy,Multicommodity flow problem,"A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems",2,contextual proximity
Artificial economy,Price equilibria,"A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems",2,contextual proximity
Assumptions,independent of the number of records,"A reusable iterative optimization software library to solve   combinatorial problems with approximate reasoning,A reusable iterative optimization software library to solve   combinatorial problems with approximate reasoning",2,contextual proximity
Assumptions,quick counting,"A reusable iterative optimization software library to solve   combinatorial problems with approximate reasoning,A reusable iterative optimization software library to solve   combinatorial problems with approximate reasoning",2,contextual proximity
Asynchronous scheduler,Uniform algorithm,"Decision-Theoretic Foundations for Causal Reasoning,Decision-Theoretic Foundations for Causal Reasoning,Decision-Theoretic Foundations for Causal Reasoning",3,contextual proximity
Bayesian network,Bayesian network inference,"Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference,Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference,Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference,Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference",4,contextual proximity
Bayesian network,CPCS networks for medical diagnosis,"Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference,Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference",2,contextual proximity
Bayesian network,VE algorithm,"Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference,Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference,Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference,Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference",4,contextual proximity
Bayesian network,causal independence,"Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference,Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference,Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference,Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference",4,contextual proximity
Bayesian network,conditional probability,"Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference,Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference",2,contextual proximity
Bayesian network,joint probability,"Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference,Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference",2,contextual proximity
Bayesian network,variable,"Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference,Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference",2,contextual proximity
Bayesian network inference,Bayesian network,"Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference,Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference,Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference,Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference",4,contextual proximity
Bayesian network inference,CPCS networks for medical diagnosis,"Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference,Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference",2,contextual proximity
Bayesian network inference,VE algorithm,"Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference,Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference,Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference,Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference",4,contextual proximity
Bayesian network inference,causal independence,"Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference,Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference,Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference,Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference",4,contextual proximity
Bayesian network inference,conditional probability,"Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference,Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference",2,contextual proximity
Bayesian network inference,joint probability,"Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference,Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference",2,contextual proximity
Bayesian network inference,variable,"Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference,Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference",2,contextual proximity
Bayesian networks,graphical framework,"Rerepresenting and Restructuring Domain Theories: A Constructive   Induction Approach,Rerepresenting and Restructuring Domain Theories: A Constructive   Induction Approach",2,contextual proximity
Bayesian networks,graphical models,"Rerepresenting and Restructuring Domain Theories: A Constructive   Induction Approach,Rerepresenting and Restructuring Domain Theories: A Constructive   Induction Approach,Rerepresenting and Restructuring Domain Theories: A Constructive   Induction Approach,Rerepresenting and Restructuring Domain Theories: A Constructive   Induction Approach",4,contextual proximity
Bayesian networks,graphical specification,"Rerepresenting and Restructuring Domain Theories: A Constructive   Induction Approach,Rerepresenting and Restructuring Domain Theories: A Constructive   Induction Approach",2,contextual proximity
Behavior analysis,Artificial economy,"A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems",2,contextual proximity
Behavior analysis,Competitive equilibrium,"A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems",2,contextual proximity
Behavior analysis,Market price systems,"A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems",9,contextual proximity
Better network topologies,An algorithm that learns from a set of examples,"Identifying Hierarchical Structure in Sequences: A linear-time algorithm,Identifying Hierarchical Structure in Sequences: A linear-time algorithm",2,contextual proximity
Better network topologies,REGENT algorithm,"Identifying Hierarchical Structure in Sequences: A linear-time algorithm,Identifying Hierarchical Structure in Sequences: A linear-time algorithm,Identifying Hierarchical Structure in Sequences: A linear-time algorithm",3,contextual proximity
Boltzman machines,Uniform algorithm,"Decision-Theoretic Foundations for Causal Reasoning,Decision-Theoretic Foundations for Causal Reasoning,Decision-Theoretic Foundations for Causal Reasoning",3,contextual proximity
C4.5 and backpropagation,distributed output representation,"Adaptive Load Balancing: A Study in Multi-Agent Learning,Adaptive Load Balancing: A Study in Multi-Agent Learning",2,contextual proximity
C4.5 and backpropagation,k classes,"Adaptive Load Balancing: A Study in Multi-Agent Learning,Adaptive Load Balancing: A Study in Multi-Agent Learning",2,contextual proximity
C4.5 and backpropagation,multiclass learning problems,"Adaptive Load Balancing: A Study in Multi-Agent Learning,Adaptive Load Balancing: A Study in Multi-Agent Learning,Adaptive Load Balancing: A Study in Multi-Agent Learning,Adaptive Load Balancing: A Study in Multi-Agent Learning",4,contextual proximity
CBP,Case library,"Cached Sufficient Statistics for Efficient Machine Learning with Large   Datasets,Cached Sufficient Statistics for Efficient Machine Learning with Large   Datasets",2,contextual proximity
CBP,Case-Based Planning (CBP),"Cached Sufficient Statistics for Efficient Machine Learning with Large   Datasets,Cached Sufficient Statistics for Efficient Machine Learning with Large   Datasets",2,contextual proximity
CBP,DERSNLP+EBL,"Cached Sufficient Statistics for Efficient Machine Learning with Large   Datasets,Cached Sufficient Statistics for Efficient Machine Learning with Large   Datasets,Cached Sufficient Statistics for Efficient Machine Learning with Large   Datasets,Cached Sufficient Statistics for Efficient Machine Learning with Large   Datasets,Cached Sufficient Statistics for Efficient Machine Learning with Large   Datasets,Cached Sufficient Statistics for Efficient Machine Learning with Large   Datasets,Cached Sufficient Statistics for Efficient Machine Learning with Large   Datasets,Cached Sufficient Statistics for Efficient Machine Learning with Large   Datasets",8,contextual proximity
CBP,Domain-independent planning,"Cached Sufficient Statistics for Efficient Machine Learning with Large   Datasets,Cached Sufficient Statistics for Efficient Machine Learning with Large   Datasets",2,contextual proximity
CBP,Mis-retrieval problem,"Cached Sufficient Statistics for Efficient Machine Learning with Large   Datasets,Cached Sufficient Statistics for Efficient Machine Learning with Large   Datasets",2,contextual proximity
CBP,Multi-goal problems,"Cached Sufficient Statistics for Efficient Machine Learning with Large   Datasets,Cached Sufficient Statistics for Efficient Machine Learning with Large   Datasets",2,contextual proximity
CBP,Performance improvements over generative (from-scratch) planning,"Cached Sufficient Statistics for Efficient Machine Learning with Large   Datasets,Cached Sufficient Statistics for Efficient Machine Learning with Large   Datasets",2,contextual proximity
CBP,Replay framework,"Cached Sufficient Statistics for Efficient Machine Learning with Large   Datasets,Cached Sufficient Statistics for Efficient Machine Learning with Large   Datasets",2,contextual proximity
CBP,Similarity judgements,"Cached Sufficient Statistics for Efficient Machine Learning with Large   Datasets,Cached Sufficient Statistics for Efficient Machine Learning with Large   Datasets",2,contextual proximity
CLASSIC,description graphs,"Pattern Matching and Discourse Processing in Information Extraction from   Japanese Text,Pattern Matching and Discourse Processing in Information Extraction from   Japanese Text",2,contextual proximity
CLASSIC,"standard, model-theoretic semantics for description logics","Pattern Matching and Discourse Processing in Information Extraction from   Japanese Text,Pattern Matching and Discourse Processing in Information Extraction from   Japanese Text",2,contextual proximity
CLASSIC descriptions,description graphs,"Pattern Matching and Discourse Processing in Information Extraction from   Japanese Text,Pattern Matching and Discourse Processing in Information Extraction from   Japanese Text",2,contextual proximity
CLASSIC descriptions,"standard, model-theoretic semantics for description logics","Pattern Matching and Discourse Processing in Information Extraction from   Japanese Text,Pattern Matching and Discourse Processing in Information Extraction from   Japanese Text",2,contextual proximity
CNF conversion,GSAT,"A System for Induction of Oblique Decision Trees,A System for Induction of Oblique Decision Trees",2,contextual proximity
CPCS networks for medical diagnosis,Bayesian network,"Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference,Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference",2,contextual proximity
CPCS networks for medical diagnosis,Bayesian network inference,"Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference,Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference",2,contextual proximity
CPCS networks for medical diagnosis,VE algorithm,"Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference,Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference",2,contextual proximity
CPCS networks for medical diagnosis,causal independence,"Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference,Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference",2,contextual proximity
CSP,MUSE CSP,"Lifeworld Analysis,Lifeworld Analysis,Lifeworld Analysis,Lifeworld Analysis,Lifeworld Analysis,Lifeworld Analysis,Lifeworld Analysis,Lifeworld Analysis",8,contextual proximity
Case library,CBP,"Cached Sufficient Statistics for Efficient Machine Learning with Large   Datasets,Cached Sufficient Statistics for Efficient Machine Learning with Large   Datasets",2,contextual proximity
Case library,DERSNLP+EBL,"Cached Sufficient Statistics for Efficient Machine Learning with Large   Datasets,Cached Sufficient Statistics for Efficient Machine Learning with Large   Datasets,Cached Sufficient Statistics for Efficient Machine Learning with Large   Datasets,Cached Sufficient Statistics for Efficient Machine Learning with Large   Datasets",4,contextual proximity
Case-Based Planning (CBP),CBP,"Cached Sufficient Statistics for Efficient Machine Learning with Large   Datasets,Cached Sufficient Statistics for Efficient Machine Learning with Large   Datasets",2,contextual proximity
Case-Based Planning (CBP),DERSNLP+EBL,"Cached Sufficient Statistics for Efficient Machine Learning with Large   Datasets,Cached Sufficient Statistics for Efficient Machine Learning with Large   Datasets,Cached Sufficient Statistics for Efficient Machine Learning with Large   Datasets,Cached Sufficient Statistics for Efficient Machine Learning with Large   Datasets",4,contextual proximity
Characteristic models,Decision problem,"Quantum Computing and Phase Transitions in Combinatorial Search,Quantum Computing and Phase Transitions in Combinatorial Search,Quantum Computing and Phase Transitions in Combinatorial Search",3,contextual proximity
Characteristic models,Horn expressions,"Quantum Computing and Phase Transitions in Combinatorial Search,Quantum Computing and Phase Transitions in Combinatorial Search,Quantum Computing and Phase Transitions in Combinatorial Search,Quantum Computing and Phase Transitions in Combinatorial Search,Quantum Computing and Phase Transitions in Combinatorial Search,Quantum Computing and Phase Transitions in Combinatorial Search,Quantum Computing and Phase Transitions in Combinatorial Search,Quantum Computing and Phase Transitions in Combinatorial Search,Quantum Computing and Phase Transitions in Combinatorial Search,Quantum Computing and Phase Transitions in Combinatorial Search,Quantum Computing and Phase Transitions in Combinatorial Search,Quantum Computing and Phase Transitions in Combinatorial Search",12,contextual proximity
Characteristic models,Hypergraph transversal problem,"Quantum Computing and Phase Transitions in Combinatorial Search,Quantum Computing and Phase Transitions in Combinatorial Search,Quantum Computing and Phase Transitions in Combinatorial Search,Quantum Computing and Phase Transitions in Combinatorial Search,Quantum Computing and Phase Transitions in Combinatorial Search,Quantum Computing and Phase Transitions in Combinatorial Search",6,contextual proximity
Classification accuracy,Continuous input values,"A Complete Classification of Tractability in RCC-5,A Complete Classification of Tractability in RCC-5",2,contextual proximity
Classification accuracy,Instance-based learning techniques,"A Complete Classification of Tractability in RCC-5,A Complete Classification of Tractability in RCC-5",2,contextual proximity
Classification accuracy,Nominal input attributes,"A Complete Classification of Tractability in RCC-5,A Complete Classification of Tractability in RCC-5",2,contextual proximity
Clusters,Local minima,"Model-Based Diagnosis using Structured System Descriptions,Model-Based Diagnosis using Structured System Descriptions",2,contextual proximity
Clusters,Local search algorithms,"Model-Based Diagnosis using Structured System Descriptions,Model-Based Diagnosis using Structured System Descriptions",2,contextual proximity
Clusters,Plateaus with exits (benches),"Model-Based Diagnosis using Structured System Descriptions,Model-Based Diagnosis using Structured System Descriptions",2,contextual proximity
Competitive equilibrium,Activities and resource allocations,"A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems",2,contextual proximity
Competitive equilibrium,Artificial economy,"A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems",4,contextual proximity
Competitive equilibrium,Behavior analysis,"A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems",2,contextual proximity
Competitive equilibrium,Computational agents,"A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems",2,contextual proximity
Competitive equilibrium,Computational market structures,"A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems",2,contextual proximity
Competitive equilibrium,Distributed problem solving,"A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems",2,contextual proximity
Competitive equilibrium,Efficient distributed resource allocation,"A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems",2,contextual proximity
