node_1,node_2,edge,count,topic_name
hill-climbing phase,rapid hill-climbing,describe in detail the two phases of search: rapid hill-climbing followed by a long plateau search.,4,An Empirical Analysis of Search in GSAT
plateau search,long plateau search,describe in detail the two phases of search: rapid hill-climbing followed by a long plateau search.,4,An Empirical Analysis of Search in GSAT
gradient,average gradient,conjecture that both the average score and average branching rate decay exponentially during plateau search.,4,An Empirical Analysis of Search in GSAT
learning programs,logic programs with cut,"The paper investigates the difficulties of learning programs with cut, as it is a natural and reasonable approach for programs that normally use cut. However, current induction techniques should probably be restricted to purely declarative logic languages due to the difficulties caused by intensional evaluation.",4,The Difficulties of Learning Logic Programs with Cut
learning programs,base program,"The paper proposes a scheme of generating a candidate base program that covers positive examples, which can then be made consistent by inserting cut where appropriate.",4,The Difficulties of Learning Logic Programs with Cut
candidate base program,consistency,The paper investigates the difficulties caused by intensional evaluation in making a candidate base program consistent by inserting cut where appropriate.,4,The Difficulties of Learning Logic Programs with Cut
extensional evaluation method,clauses containing cut,"Clauses containing cut cannot be learned using an extensional evaluation method, as is done in most learning systems, due to their procedural meaning.",4,The Difficulties of Learning Logic Programs with Cut
note taking,computer,"The text mentions that recording information on a computer is less efficient but more powerful than doing it on paper, indicating that note taking and computers are related concepts.",4,Software Agents: Completing Patterns and Constructing User Interfaces
note taking agent,user interface,"The text describes a new note taking software with an agent that acts for the user and constructs a custom user interface, implying that there is a relationship between the note taking agent and the user interface.",4,Software Agents: Completing Patterns and Constructing User Interfaces
agent,learning-apprentice software-agent,"The text refers to the note taking agent as a learning-apprentice software-agent, suggesting that there is a connection between the two terms.",4,Software Agents: Completing Patterns and Constructing User Interfaces
performance system,user interface,"The text explains that the performance system uses learned information to generate completion strings and construct a user interface, implying that there is a relationship between the performance system and the user interface.",4,Software Agents: Completing Patterns and Constructing User Interfaces
performance system,machine learning component,"The text mentions that the performance system uses learned information, which implies that there is a link between the performance system and the machine learning component.",4,Software Agents: Completing Patterns and Constructing User Interfaces
user interface,"custom, button-box user interface","The text describes how the system constructs a custom user interface on request, indicating that there is a connection between the user interface and the custom, button-box user interface.",4,Software Agents: Completing Patterns and Constructing User Interfaces
TKRS,knowledge base,A TKRS is a tool used for designing and using knowledge bases.,4,Decidable Reasoning in Terminological Knowledge Representation Systems
terminological language,concept language,"TKRSs make use of terminological languages, which are also called concept languages.",4,Decidable Reasoning in Terminological Knowledge Representation Systems
ALCNR,highly expressive terminological language,"The capabilities of this TKRS go beyond those of presently available ones because it uses a highly expressive terminological language called ALCNR, which includes general complements of concepts, number restrictions, and role conjunction.",4,Decidable Reasoning in Terminological Knowledge Representation Systems
inclusion statements,general concepts,"This TKRS allows to express inclusion statements between general concepts, which is often required in practical applications.",4,Decidable Reasoning in Terminological Knowledge Representation Systems
terminological cycles,inclusion statements,Terminological cycles are a particular case of inclusion statements between general concepts.,4,Decidable Reasoning in Terminological Knowledge Representation Systems
desirable TKRS-deduction services,ALCNR-knowledge bases,"A number of desirable TKRS-deduction services, like satisfiability, subsumption, and instance checking, are decidable for reasoning in ALCNR-knowledge bases.",4,Decidable Reasoning in Terminological Knowledge Representation Systems
constraint systems,calculus,Our calculus extends the general technique of constraint systems for reasoning in ALCNR-knowledge bases.,4,Decidable Reasoning in Terminological Knowledge Representation Systems
formalism,dynamic environments,A formalism is presented for computing and organizing actions for autonomous agents in dynamic environments.,4,Teleo-Reactive Programs for Agent Control
autonomous agents,formalism,A formalism is presented for computing and organizing actions for autonomous agents in dynamic environments.,4,Teleo-Reactive Programs for Agent Control
dynamic environments,autonomous agents,A formalism is presented for computing and organizing actions for autonomous agents in dynamic environments.,4,Teleo-Reactive Programs for Agent Control
teleo-reactive (T-R) programs,continuous computation,We introduce the notion of teleo-reactive (T-R) programs whose execution entails the construction of circuitry for the continuous computation of the parameters and conditions on which agent action is based.,4,Teleo-Reactive Programs for Agent Control
T-R programs,compact circuitry,"In addition to continuous feedback, T-R programs support parameter binding and recursion. A primary difference between T-R programs and many other circuit-based systems is that the circuitry of T-R programs is more compact;",4,Teleo-Reactive Programs for Agent Control
T-R programs,run time construction,it does not have to anticipate all the contingencies that might arise over all possible runs.,4,Teleo-Reactive Programs for Agent Control
T-R programs,intuitive and easy to write,T-R programs are written in a form that is compatible with automatic planning and learning methods. We briefly describe some experimental applications of T-R programs in the control of simulated and actual mobile robots.,4,Teleo-Reactive Programs for Agent Control
learning,acquisition,"Seemingly minor aspect of language acquisition is learning, which has generated heated debates since 1986.",4,Learning the Past Tense of English Verbs: The Symbolic Pattern   Associator vs. Connectionist Models
English verbs,past tense,The past tense of English verbs is a topic for testing the adequacy of cognitive modeling.,4,Learning the Past Tense of English Verbs: The Symbolic Pattern   Associator vs. Connectionist Models
ANNs,SPA,"Several artificial neural networks (ANNs) have been implemented, and a challenge for better symbolic models has been posed. In this paper, we present a general-purpose Symbolic Pattern Associator (SPA) based upon the decision-tree learning algorithm ID3.",4,Learning the Past Tense of English Verbs: The Symbolic Pattern   Associator vs. Connectionist Models
head-to-head,comparisons,We conduct extensive head-to-head comparisons on the generalization ability between ANN models and the SPA under different representations.,4,Learning the Past Tense of English Verbs: The Symbolic Pattern   Associator vs. Connectionist Models
better symbolic models,ANN models,"We conclude that the SPA generalizes the past tense of unseen verbs better than ANN models by a wide margin,",4,Learning the Past Tense of English Verbs: The Symbolic Pattern   Associator vs. Connectionist Models
decision-tree learning algorithms,default strategy,we discuss a new default strategy for decision-tree learning algorithms.,4,Learning the Past Tense of English Verbs: The Symbolic Pattern   Associator vs. Connectionist Models
substructure discovery,discovering knowledge in structural data,essential component,4,Substructure Discovery Using Minimum Description Length and Background   Knowledge
substructure discovery,representing structural concepts,compresses original data,4,Substructure Discovery Using Minimum Description Length and Background   Knowledge
substructure discovery,hierarchical description,multiple passes of SUBDUE,4,Substructure Discovery Using Minimum Description Length and Background   Knowledge
inexact graph match,similar instances of a substructure,IDENTIFIES,4,Substructure Discovery Using Minimum Description Length and Background   Knowledge
approximate measure of closeness,two substructures,finds an approximate measure of closeness,4,Substructure Discovery Using Minimum Description Length and Background   Knowledge
background knowledge,guides the search towards more appropriate substructures,used by SUBDUE,4,Substructure Discovery Using Minimum Description Length and Background   Knowledge
substructure discovery,discovering knowledge in structural data,essential component,4,Bias-Driven Revision of Logical Domain Theories
substructure discovery,representing structural concepts,compresses original data,4,Bias-Driven Revision of Logical Domain Theories
substructure discovery,hierarchical description,multiple passes of SUBDUE,4,Bias-Driven Revision of Logical Domain Theories
graph match,similar instances of a substructure,IDENTIFIES,4,Bias-Driven Revision of Logical Domain Theories
approximate measure of closeness,two substructures,finds an approximate measure of closeness,4,Bias-Driven Revision of Logical Domain Theories
background knowledge,guides the search towards more appropriate substructures,used by SUBDUE,4,Bias-Driven Revision of Logical Domain Theories
graph,database,represents,4,Bias-Driven Revision of Logical Domain Theories
data,original data,compresses,4,Bias-Driven Revision of Logical Domain Theories
substructure discovery,discovering knowledge in structural data,essential component,4,Exploring the Decision Forest: An Empirical Investigation of Occam's   Razor in Decision Tree Induction
substructure discovery,representing structural concepts,compresses original data,4,Exploring the Decision Forest: An Empirical Investigation of Occam's   Razor in Decision Tree Induction
substructure discovery,hierarchical description,multiple passes of SUBDUE,4,Exploring the Decision Forest: An Empirical Investigation of Occam's   Razor in Decision Tree Induction
inexact graph match,similar instances of a substructure,IDENTIFIES,4,Exploring the Decision Forest: An Empirical Investigation of Occam's   Razor in Decision Tree Induction
approximate measure of closeness,two substructures,finds an approximate measure of closeness,4,Exploring the Decision Forest: An Empirical Investigation of Occam's   Razor in Decision Tree Induction
background knowledge,guides the search towards more appropriate substructures,used by SUBDUE,4,Exploring the Decision Forest: An Empirical Investigation of Occam's   Razor in Decision Tree Induction
substructure discovery,discovering knowledge in structural data,essential component,4,A Semantics and Complete Algorithm for Subsumption in the CLASSIC   Description Logic
substructure discovery,representing structural concepts,compresses original data,4,A Semantics and Complete Algorithm for Subsumption in the CLASSIC   Description Logic
substructure discovery,hierarchical description,multiple passes of SUBDUE,4,A Semantics and Complete Algorithm for Subsumption in the CLASSIC   Description Logic
graph match,similar instances of a substructure,IDENTIFIES,4,A Semantics and Complete Algorithm for Subsumption in the CLASSIC   Description Logic
approximate measure of closeness,two substructures,finds an approximate measure of closeness,4,A Semantics and Complete Algorithm for Subsumption in the CLASSIC   Description Logic
background knowledge,guides the search towards more appropriate substructures,used by SUBDUE,4,A Semantics and Complete Algorithm for Subsumption in the CLASSIC   Description Logic
graph,database,represents,4,A Semantics and Complete Algorithm for Subsumption in the CLASSIC   Description Logic
data,original data,compresses,4,A Semantics and Complete Algorithm for Subsumption in the CLASSIC   Description Logic
Theory revision problem,Domain theory,Theory revision problem involves modifying a domain theory to address its deficiencies as revealed by examples.,4,Applying GSAT to Non-Clausal Formulas
Deficient domain theory,Examples,"Examples expose inaccuracies in the domain theory, leading to the need for revision.",4,Applying GSAT to Non-Clausal Formulas
Propositional domain theories,PTR,PTR is an approach to theory revision for propositional domain theories.,4,Applying GSAT to Non-Clausal Formulas
PTR,Probabilities,PTR uses probabilities associated with domain theory elements to track the flow of proof through the theory.,4,Applying GSAT to Non-Clausal Formulas
Ptr,Flawed elements,PTR efficiently locates and repairs flawed elements of the theory.,4,Applying GSAT to Non-Clausal Formulas
Ptr,Correctly classifies,PTR converges to a theory that correctly classifies all examples.,4,Applying GSAT to Non-Clausal Formulas
smaller consistent decision trees,accuracy of individual trees,"for many of the problems investigated, smaller consistent decision trees are on average less accurate than the average accuracy of slightly larger trees.",4,Random Worlds and Maximum Entropy
consistent decision trees,training data,all decision trees consistent with the training data are constructed.,4,Random Worlds and Maximum Entropy
accuracy of individual trees,test data,individual trees on test data.,4,Random Worlds and Maximum Entropy
description logics,CLASSIC,CLASSIC is a description logic-based knowledge representation system that is being used in practical applications.,4,Pattern Matching and Discourse Processing in Information Extraction from   Japanese Text
individuals,CLASSIC descriptions,"In order to deal efficiently with individuals in CLASSIC descriptions, the developers have had to use an algorithm that is incomplete with respect to the standard, model-theoretic semantics for description logics.",4,Pattern Matching and Discourse Processing in Information Extraction from   Japanese Text
description graphs,subsumption algorithm,"The soundness and completeness of the polynomial-time subsumption algorithm is established using description graphs, which are an abstracted version of the implementation structures used in CLASSIC, and are of independent interest.",4,Pattern Matching and Discourse Processing in Information Extraction from   Japanese Text
"standard, model-theoretic semantics for description logics",algorithm that is incomplete with respect to,"The developers had to use an algorithm that is incomplete with respect to the standard, model-theoretic semantics for description logics.",4,Pattern Matching and Discourse Processing in Information Extraction from   Japanese Text
description graphs,"standard, model-theoretic semantics for description logics","The soundness and completeness of the polynomial-time subsumption algorithm is established using description graphs, which are an abstracted version of the implementation structures used in CLASSIC, and are of independent interest. This variant semantics for descriptions with respect to which the current implementation is complete, and which can be independently motivated.",4,Pattern Matching and Discourse Processing in Information Extraction from   Japanese Text
GSAT,CNF conversion,"In this paper, we propose a way to modify GSAT to apply it to non-clausal formulas by using a particular 'score' function that calculates the number of false clauses in the CNF conversion of a formula under a given truth assignment. This value is computed in linear time without constructing the entire CNF conversion.",4,A System for Induction of Oblique Decision Trees
GSAT,Non-clausal formulas,Our proposed methodology applies to most of the variants of GSAT suggested till now.,4,A System for Induction of Oblique Decision Trees
formula Phi,knowledge base KB,"implication relationship, as the degree of belief for Phi is computed given KB using the random-worlds method",4,On Planning while Learning
N individuals,"all possible worlds with domain {1,...,N}","instantiation relationship, as all possible worlds are considered for computing the degree of belief given KB and N",4,On Planning while Learning
constants and unary predicates,vocabulary underlying Phi and KB,"limitation relationship, as the random-worlds method is restricted to this type of vocabulary",4,On Planning while Learning
entropy,each world,"association relationship, as entropy can be naturally associated with each world when Phi and KB use constants and unary predicates only",4,On Planning while Learning
information extraction,unconstrained text,Information extraction is the task of automatically picking up information of interest from an unconstrained text.,4,Wrap-Up: a Trainable Discourse Module for Information Extraction
information,interest,Information of interest is usually extracted in two steps.,4,Wrap-Up: a Trainable Discourse Module for Information Extraction
pieces of information,scattered throughout the text,"Pieces of information scattered throughout the text; second, discourse processing merges coreferential information to generate the output.",4,Wrap-Up: a Trainable Discourse Module for Information Extraction
key word search,simple pattern search,A key word search or simple pattern search can achieve this purpose.,4,Wrap-Up: a Trainable Discourse Module for Information Extraction
first step,second step,"In the first step, pieces of information are locally identified without recognizing any relationships among them.",4,Wrap-Up: a Trainable Discourse Module for Information Extraction
human performance,high level of system performance,Evaluation results show a high level of system performance which approaches human performance.,4,Wrap-Up: a Trainable Discourse Module for Information Extraction
Japanese information extraction system,pattern matcher and discourse processor,This paper reports on a Japanese information extraction system that merges information using a pattern matcher and discourse processor.,4,Operations for Learning with Graphical Models
information extraction,unconstrained text,Information extraction is the task of automatically picking up information of interest from an unconstrained text.,4,Total-Order and Partial-Order Planning: A Comparative Analysis
information,interest,Information of interest is usually extracted in two steps.,4,Total-Order and Partial-Order Planning: A Comparative Analysis
pieces of information,scattered throughout the text,"Pieces of information scattered throughout the text; second, discourse processing merges coreferential information to generate the output.",4,Total-Order and Partial-Order Planning: A Comparative Analysis
key word search,simple pattern search,A key word search or simple pattern search can achieve this purpose.,4,Total-Order and Partial-Order Planning: A Comparative Analysis
first step,second step,"In the first step, pieces of information are locally identified without recognizing any relationships among them.",4,Total-Order and Partial-Order Planning: A Comparative Analysis
human performance,high level of system performance,Evaluation results show a high level of system performance which approaches human performance.,4,Total-Order and Partial-Order Planning: A Comparative Analysis
Japanese information extraction system,pattern matcher and discourse processor,This paper reports on a Japanese information extraction system that merges information using a pattern matcher and discourse processor.,4,Solving Multiclass Learning Problems via Error-Correcting Output Codes
oblique decision tree methods,domains in which the attributes are numeric,"Oblique decision tree methods are tuned especially for domains in which the attributes are numeric, although they can be adapted to symbolic or mixed symbolic/numeric attributes.",4,A Domain-Independent Algorithm for Plan Adaptation
OC1,oblique split (in the form of a hyperplane),"This system, OC1, combines deterministic hill-climbing with two forms of randomization to find a good oblique split (in the form of a hyperplane) at each node of a decision tree.",4,A Domain-Independent Algorithm for Plan Adaptation
OC1,smaller and more accurate than their axis-parallel counterparts,"We present extensive empirical studies, using both real and artificial data, that analyze OC1's ability to construct oblique trees that are smaller and more accurate than their axis-parallel counterparts.",4,A Domain-Independent Algorithm for Plan Adaptation
Planning while Learning,Goal to achieve,"In a partially known environment, the agent learns and adapts its plans to achieve the given goal.",4,Truncating Temporal Differences: On the Efficient Implementation of   TD(lambda) for Reinforcement Learning
Plan-design process,Tractability,"Discussion on the tractability of various plan-design processes for Planning while Learning systems, as some classes are computationally expensive.",4,Truncating Temporal Differences: On the Efficient Implementation of   TD(lambda) for Reinforcement Learning
Plan-design process,Algorithmic,Showing that finding a plan algorithmically is intractable even for simple classes of systems.,4,Truncating Temporal Differences: On the Efficient Implementation of   TD(lambda) for Reinforcement Learning
Off-line plan-design process,Role,"Emphasizing the importance and efficiency of off-line plan-design processes, especially during verification or projection in most natural cases.",4,Truncating Temporal Differences: On the Efficient Implementation of   TD(lambda) for Reinforcement Learning
information extraction (IE) processing,higher level IE processing,has a subset relationship,4,Cost-Sensitive Classification: Empirical Evaluation of a Hybrid Genetic   Decision Tree Induction Algorithm
machine learning,acquires knowledge for some of the higher level IE processing,used to acquire knowledge,4,Cost-Sensitive Classification: Empirical Evaluation of a Hybrid Genetic   Decision Tree Induction Algorithm
Unrestricted text,vast amounts of,associated with,4,Cost-Sensitive Classification: Empirical Evaluation of a Hybrid Genetic   Decision Tree Induction Algorithm
IE discourse component,Wrap-Up,identifies as,4,Cost-Sensitive Classification: Empirical Evaluation of a Hybrid Genetic   Decision Tree Induction Algorithm
IE discourse component,partially trainable discourse module,performance equals that of,4,Cost-Sensitive Classification: Empirical Evaluation of a Hybrid Genetic   Decision Tree Induction Algorithm
graphical models,Bayesian networks,"Graphical models include Bayesian networks, which are directed graphs representing a Markov chain.",4,Rerepresenting and Restructuring Domain Theories: A Constructive   Induction Approach
graphical models,directed graphs representing a Markov chain,"Directed graphs representing a Markov chain are a type of graphical model, specifically Bayesian networks.",4,Rerepresenting and Restructuring Domain Theories: A Constructive   Induction Approach
graphical models,undirected networks representing a Markov field,Graphical models also include undirected networks representing a Markov field.,4,Rerepresenting and Restructuring Domain Theories: A Constructive   Induction Approach
plates,graphical models,Plates are an extension of graphical models to model data analysis and empirical learning.,4,Rerepresenting and Restructuring Domain Theories: A Constructive   Induction Approach
Gibbs sampling,graphical framework,"Two standard algorithm schemas for learning, Gibbs sampling and the expectation maximization algorithm, are reviewed in a graphical framework.",4,Rerepresenting and Restructuring Domain Theories: A Constructive   Induction Approach
expectation maximization algorithm,graphical framework,"Two standard algorithm schemas for learning, Gibbs sampling and the expectation maximization algorithm, are reviewed in a graphical framework.",4,Rerepresenting and Restructuring Domain Theories: A Constructive   Induction Approach
linear regression,graphical specification,"Using these operations and schemas, some popular algorithms can be synthesized from their graphical specification, including versions of linear regression.",4,Rerepresenting and Restructuring Domain Theories: A Constructive   Induction Approach
Gaussian Bayesian networks,learning Gaussian and discrete Bayesian networks from data,"Using these operations and schemas, some popular algorithms can be synthesized from their graphical specification, including learning Gaussian and discrete Bayesian networks from data.",4,Rerepresenting and Restructuring Domain Theories: A Constructive   Induction Approach
feed-forward networks,graphical specification,"Using these operations and schemas, some popular algorithms can be synthesized from their graphical specification, including techniques for feed-forward networks.",4,Rerepresenting and Restructuring Domain Theories: A Constructive   Induction Approach
partial-order planning,total-order planning,"The paper presents a comparative analysis of partial-order and total-order planning, focusing on two specific planners that can be directly compared. It highlights some subtle assumptions underlying the supposed efficiency of partial-order planning and shows that this superiority can depend critically upon the search strategy and the structure of the search space.",4,Using Pivot Consistency to Decompose and Solve Functional CSPs
multiclass learning problems,k classes,"Multiclass learning problems involve finding a definition for an unknown function f(x) whose range is a discrete set containing k &gt 2 values, which are referred to as k 'classes'.",4,Adaptive Load Balancing: A Study in Multi-Agent Learning
multiclass learning problems,direct application of multiclass algorithms,Existing approaches to multiclass learning problems include direct application of multiclass algorithms such as the decision-tree algorithms C4.5 and CART.,4,Adaptive Load Balancing: A Study in Multi-Agent Learning
binary concept learning algorithms,k classes,Another approach to multiclass learning problems is to apply binary concept learning algorithms to learn individual binary functions for each of the k classes.,4,Adaptive Load Balancing: A Study in Multi-Agent Learning
error-correcting codes,distributed output representation,This paper compares these three approaches to a new technique in which error-correcting codes are employed as a distributed output representation.,4,Adaptive Load Balancing: A Study in Multi-Agent Learning
C4.5 and backpropagation,distributed output representation,We show that these output representations improve the generalization performance of both C4.5 and backpropagation on a wide range of multiclass learning tasks.,4,Adaptive Load Balancing: A Study in Multi-Agent Learning
multiclass learning problems,changes in training sample size,"This approach is robust with respect to changes in the size of the training sample,",4,Adaptive Load Balancing: A Study in Multi-Agent Learning
distributed output representations,particular classes,"The assignment of distributed representations to particular classes,",4,Adaptive Load Balancing: A Study in Multi-Agent Learning
overfitting avoidance techniques,robustness,and the application of overfitting avoidance techniques such as decision-tree pruning.,4,Adaptive Load Balancing: A Study in Multi-Agent Learning
error-correcting output codes,multiclass problems,"Finally, we show that---like the other methods---the error-correcting code technique can provide a general-purpose method for improving the performance of inductive learning programs on multiclass problems.",4,Adaptive Load Balancing: A Study in Multi-Agent Learning
multiclass learning problems,reliable class probability estimates,"Taken together, these results demonstrate that error-correcting output codes provide a general-purpose method for improving the performance of inductive learning programs on multiclass problems and can also provide reliable class probability estimates.",4,Adaptive Load Balancing: A Study in Multi-Agent Learning
plan adaptation,plan refinement operators,"Plan adaptation involves modifying or repairing an old plan to solve a new problem, and can apply both the same refinement operators available to a generative planner as well as retract constraints and steps from the plan. This is part of a domain-independent algorithm for plan adaptation, which searches a graph of partial plans in a sound, complete, and systematic way.",4,Provably Bounded-Optimal Agents
plan adaptation,completeness,The completeness of our algorithm ensures that the adaptation algorithm will eventually search the entire plan graph without redundantly searching any parts of it.,4,Provably Bounded-Optimal Agents
plan adaptation,systematicity,The systematicity of our algorithm ensures that it will do so in a way that is not redundant.,4,Provably Bounded-Optimal Agents
transformational planning,case-based planning,"Both transformational planning and case-based planning involve a process known as plan adaptation, which modifies or repairs an old plan to solve a new problem.",4,Provably Bounded-Optimal Agents
plan adaptation,graph of partial plans,"Plan adaptation involves searching a graph of partial plans, starting at the root and moving from node to node using plan-refinement operators.",4,Provably Bounded-Optimal Agents
Temporal difference methods,Multi-step prediction problems,TD methods are used to learn predictions in multi-step prediction problems.,4,Pac-Learning Recursive Logic Programs: Efficient Algorithms
TD methods,Reinforcement learning algorithms,"Well known reinforcement learning algorithms, such as AHC or Q-learning, may be viewed as instances of TD learning.",4,Pac-Learning Recursive Logic Programs: Efficient Algorithms
Lambda,TD methods,"Currently the most important application of these methods is to temporal credit assignment in reinforcement learning algorithms optimizing the discounted sum of rewards, parameterized by a recency factor lambda.",4,Pac-Learning Recursive Logic Programs: Efficient Algorithms
Truncated Temporal Differences (TTD),TD(lambda),"The TTD procedure is proposed as an alternative to the traditional approach, based on eligibility traces, that suffers from both inefficiency and lack of generality.",4,Pac-Learning Recursive Logic Programs: Efficient Algorithms
TTD,Arbitrary lambda,The TTD procedure can be used with arbitrary function representation methods and requires very little computation per action.,4,Pac-Learning Recursive Logic Programs: Efficient Algorithms
Lambda &gt 0,TTD,Using lambda > 0 with the TTD procedure allows one to obtain a significant learning speedup at essentially the same cost as usual TD(0) learning.,4,Pac-Learning Recursive Logic Programs: Efficient Algorithms
Reinforcement learning algorithms,Discounted sum of rewards,TD methods are used to learn predictions in reinforcement learning algorithms optimizing the discounted sum of rewards.,4,Pac-Learning Recursive Logic Programs: Efficient Algorithms
ICET,cost-sensitive classification,ICET is a new algorithm for cost-sensitive classification introduced in this paper. Cost-sensitive classification considers both the costs of tests and classification errors while classifying.,4,Pac-learning Recursive Logic Programs: Negative Results
ICET,genetic algorithm,ICET uses a genetic algorithm to evolve a population of biases for decision tree induction in cost-sensitive classification.,4,Pac-learning Recursive Logic Programs: Negative Results
ICET,decision tree,"In ICET, the fitness function of the genetic algorithm is the average cost of classification using the decision tree, including both test and classification error costs.",4,Pac-learning Recursive Logic Programs: Negative Results
ICET,five real-world medical datasets,ICET is empirically evaluated on five real-world medical datasets in comparison to other cost-sensitive classification algorithms.,4,Pac-learning Recursive Logic Programs: Negative Results
EG2,ICET,"In a set of experiments, ICET is compared with three other algorithms for cost-sensitive classification - EG2, CS-ID3, and IDX, as well as C4.5 which classifies without regard to cost.",4,Pac-learning Recursive Logic Programs: Negative Results
theory revision,inductive learning,integrates by combining training examples with a coarse domain theory to produce a more accurate theory.,4,FLECS: Planning with a Flexible Commitment Strategy
initial theory,improved theory,representation language appropriate for the initial theory may be inappropriate for an improved theory.,4,FLECS: Planning with a Flexible Commitment Strategy
original representation,more accurate theory,"forced to use that same representation may be bulky, cumbersome, and difficult to reach.",4,FLECS: Planning with a Flexible Commitment Strategy
initial theory,fine-tuned theory,"a more accurate theory forced to use that same representation may be bulky, cumbersome, and difficult to reach.",4,FLECS: Planning with a Flexible Commitment Strategy
coarse domain theory,fine-tuned theory,a theory structure suitable for a coarse domain theory may be insufficient for a fine-tuned theory.,4,FLECS: Planning with a Flexible Commitment Strategy
"small, local changes to a theory",complex structural alterations that may be required,have limited value for accomplishing.,4,FLECS: Planning with a Flexible Commitment Strategy
theory-guided constructive induction,previous theory-guided systems,experiments in three domains show improvement over.,4,FLECS: Planning with a Flexible Commitment Strategy
functional CSPs,local consistency,"The paper proposes a new decomposition method for functional CSPs that benefits from both semantic properties of functional constraints and structural properties of the network, as well as introduces a new local consistency called pivot consistency. Pivot consistency is a weak form of path consistency and can be achieved in O(n^2d^2) complexity, which is faster than the O(n^3d^3) complexity for path consistency.",4,Induction of First-Order Decision Lists: Results on Learning the Past   Tense of English Verbs
functional CSPs,root set,The paper introduces a particular subset of variables called a root set that is characterized in the context of solving functional CSPs by combining semantic properties of functional constraints and structural properties of the network.,4,Induction of First-Order Decision Lists: Results on Learning the Past   Tense of English Verbs
consistent instantiation,root set,"The paper shows that any consistent instantiation of the root set can be linearly extended to a solution, leading to the presentation of the new method for solving functional CSPs by decomposing.",4,Induction of First-Order Decision Lists: Results on Learning the Past   Tense of English Verbs
semantic properties,functional constraints,The paper proposes a decomposition method that takes into account semantic properties of functional constraints (not bijective constraints) in solving functional CSPs.,4,Induction of First-Order Decision Lists: Results on Learning the Past   Tense of English Verbs
functional CSPs,existing solutions,The paper shows under some conditions that the existence of solutions can be guaranteed for functional CSPs by combining semantic properties of functional constraints and structural properties of the network.,4,Induction of First-Order Decision Lists: Results on Learning the Past   Tense of English Verbs
